pleiades_id,title,longitude,latitude,location_precision,feature_types,time_periods,sources,in_window_bins
383804,Trident(i)um,11.119135,46.0667685,precise,settlement,"hellenistic-republican,roman,late-antique,twentieth-ce",pleiades_settlement,7.2
383808,Vada Sabatia,8.435757,44.269359,precise,settlement,"roman,late-antique,twenty-first-ce",pleiades_settlement,0.055
383809,Vardagate,8.444375,45.08329,precise,settlement,"roman,late-antique,twentieth-ce",pleiades_settlement,0.055
383811,Veleia,9.72159425,44.78529,precise,settlement,"hellenistic-republican,roman,roman-early-empire-late-antique,late-antique",pleiades_settlement,7.2
383813,Vennum,10.8233628,45.5476339,precise,"station, settlement-modern","roman,late-antique,twenty-first-ce",pleiades_transport,0.055
383815,Vercellae,8.426374,45.321094,precise,settlement,"classical,hellenistic-republican,roman,late-antique,modern",pleiades_settlement,17.6
383818,Vettianus Fundus,11.000669,46.080018,precise,villa,"roman,late-antique",pleiades_production,0.055
383820,Victoriolae,10.999738,44.623851,precise,station,late-antique,pleiades_transport,0.0
383821,Victumulae,7.999899,45.505531,precise,mine-2,"hellenistic-republican,roman,late-antique,twentieth-ce",pleiades_production,7.2
383822,Vicus Baginas,7.880721,44.448981,precise,settlement,"roman,late-antique,twentieth-ce",pleiades_settlement,0.055
383824,Vitricium,7.690596,45.668586,precise,station,"roman,late-antique",pleiades_transport,0.055
383827,Voberna,10.50093,45.64235,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383829,[Vulturina],10.34765,45.014349,precise,settlement,late-antique,pleiades_settlement,0.0
385053,Unnamed bridge at Lévérogne,7.2074956,45.7024174,precise,"bridge, settlement-modern","roman,late-antique,modern",pleiades_transport,0.055
385054,Roman Bridge of Châtillon,7.6108771,45.7480008,precise,bridge,"roman,late-antique,modern",pleiades_transport,0.055
385055,Unnamed bridge at Vitricium,7.75,45.75,rough,bridge,"roman,late-antique",pleiades_transport,0.055
